model,id,ano,area,difficulty_score,escolhido,label,acertou,confianca,conf_metodo,conf_app,n_predict
qwen2.5-1.5b,questao_02,2022,LC,0.621498,D,D,True,0.883804,letra,0.841552,4
qwen2.5-1.5b,questao_03,2022,LC,0.639566,E,E,True,0.907727,letra,0.849187,4
qwen2.5-1.5b,questao_04,2022,LC,0.687937,C,C,True,0.668483,letra,0.503435,4
qwen2.5-1.5b,questao_05,2022,LC,0.586421,D,D,True,0.552126,letra,0.782659,4
qwen2.5-1.5b,questao_06,2022,LC,0.46223,C,C,True,0.376946,letra,0.742971,4
qwen2.5-1.5b,questao_07,2022,LC,0.508342,C,C,True,0.722617,letra,0.775765,4
qwen2.5-1.5b,questao_08,2022,LC,0.739879,D,C,False,0.245913,letra,0.230281,4
qwen2.5-1.5b,questao_09,2022,LC,0.36386,D,D,True,0.436288,letra,0.726911,4
qwen2.5-1.5b,questao_10,2022,LC,0.910974,E,C,False,0.315497,letra,0.222771,4
qwen2.5-1.5b,questao_11,2022,LC,0.66961,C,C,True,0.460855,letra,0.711535,4
qwen2.5-1.5b,questao_12,2022,LC,0.907324,A,E,False,0.280434,letra,0.710949,4
qwen2.5-1.5b,questao_13,2022,LC,0.475136,B,B,True,0.287328,letra,0.630016,4
qwen2.5-1.5b,questao_14,2022,LC,0.870277,E,A,False,0.490956,letra,0.475991,4
qwen2.5-1.5b,questao_15,2022,LC,0.373779,D,C,False,0.262781,letra,0.425489,4
qwen2.5-1.5b,questao_17,2022,LC,0.710347,B,B,True,0.40925,letra,0.658298,4
qwen2.5-1.5b,questao_19,2022,LC,0.897245,E,A,False,0.263857,letra,0.660938,4
qwen2.5-1.5b,questao_21,2022,LC,0.368188,B,E,False,0.407919,letra,0.457515,4
qwen2.5-1.5b,questao_22,2022,LC,0.533134,E,E,True,0.856336,letra,0.600551,4
qwen2.5-1.5b,questao_23,2022,LC,0.7611,C,C,True,0.463676,letra,0.482651,4
qwen2.5-1.5b,questao_24,2022,LC,0.801144,A,A,True,0.36812,letra,0.728817,4
qwen2.5-1.5b,questao_25,2022,LC,0.626895,E,B,False,0.337995,letra,0.708587,4
qwen2.5-1.5b,questao_26,2022,LC,0.424392,E,A,False,0.683754,letra,0.785412,4
qwen2.5-1.5b,questao_29,2022,LC,0.613168,E,E,True,0.402233,letra,0.476125,4
qwen2.5-1.5b,questao_31,2022,LC,0.618536,E,E,True,0.51093,letra,0.628285,4
qwen2.5-1.5b,questao_32,2022,LC,0.663725,B,B,True,0.618879,letra,0.473387,4
qwen2.5-1.5b,questao_33,2022,LC,0.766916,E,E,True,0.682821,letra,0.523264,4
qwen2.5-1.5b,questao_34,2022,LC,0.814787,E,E,True,0.449307,letra,0.481967,4
qwen2.5-1.5b,questao_35,2022,LC,0.768308,C,D,False,0.58628,letra,0.752956,4
qwen2.5-1.5b,questao_36,2022,LC,0.793802,E,C,False,0.443865,letra,0.31114,4
qwen2.5-1.5b,questao_37,2022,LC,0.612473,A,A,True,0.352829,letra,0.681703,4
qwen2.5-1.5b,questao_38,2022,LC,0.524455,D,D,True,0.582343,letra,0.713805,4
qwen2.5-1.5b,questao_39,2022,LC,0.473789,B,B,True,0.49225,letra,0.50191,4
qwen2.5-1.5b,questao_40,2022,LC,0.667183,E,D,False,0.243862,letra,0.403695,4
qwen2.5-1.5b,questao_41,2022,LC,0.657234,E,B,False,0.418803,letra,0.695194,4
qwen2.5-1.5b,questao_42,2022,LC,0.425853,D,D,True,0.430232,letra,0.275317,4
qwen2.5-1.5b,questao_45,2022,LC,0.723906,E,A,False,0.464543,letra,0.713827,4
qwen2.5-1.5b,questao_46,2022,CH,0.840348,C,C,True,0.688842,letra,0.558667,4
qwen2.5-1.5b,questao_47,2022,CH,0.676497,E,B,False,0.32279,letra,0.72931,4
qwen2.5-1.5b,questao_48,2022,CH,0.900776,E,E,True,0.715249,letra,0.759004,4
qwen2.5-1.5b,questao_49,2022,CH,0.568043,C,C,True,0.466772,letra,0.697004,4
qwen2.5-1.5b,questao_50,2022,CH,0.795901,E,A,False,0.427956,letra,0.681663,4
qwen2.5-1.5b,questao_52,2022,CH,0.655698,D,B,False,0.569651,letra,0.777654,4
qwen2.5-1.5b,questao_53,2022,CH,0.829219,B,C,False,0.311898,letra,0.642336,4
qwen2.5-1.5b,questao_54,2022,CH,0.572305,D,D,True,0.847498,letra,0.818352,4
qwen2.5-1.5b,questao_56,2022,CH,0.639877,A,A,True,0.391231,letra,0.729284,4
qwen2.5-1.5b,questao_57,2022,CH,0.695186,D,C,False,0.262796,letra,0.621695,4
qwen2.5-1.5b,questao_58,2022,CH,0.723668,D,D,True,0.641847,letra,0.760221,4
qwen2.5-1.5b,questao_60,2022,CH,0.71618,E,E,True,0.62858,letra,0.545,4
qwen2.5-1.5b,questao_61,2022,CH,0.789135,D,D,True,0.457842,letra,0.713685,4
qwen2.5-1.5b,questao_62,2022,CH,0.601392,E,A,False,0.460891,letra,0.505246,4
qwen2.5-1.5b,questao_64,2022,CH,0.702995,E,A,False,0.496207,letra,0.46827,4
qwen2.5-1.5b,questao_65,2022,CH,0.741935,E,D,False,0.459263,letra,0.658461,4
qwen2.5-1.5b,questao_66,2022,CH,0.725153,E,B,False,0.317666,letra,0.65899,4
qwen2.5-1.5b,questao_67,2022,CH,0.894008,B,C,False,0.419716,letra,0.688563,4
qwen2.5-1.5b,questao_68,2022,CH,0.689594,D,D,True,0.899044,letra,0.837419,4
qwen2.5-1.5b,questao_70,2022,CH,0.792879,E,A,False,0.442347,letra,0.455786,4
qwen2.5-1.5b,questao_71,2022,CH,0.576338,E,E,True,0.703227,letra,0.782695,4
qwen2.5-1.5b,questao_72,2022,CH,0.832687,C,C,True,0.621565,letra,0.804175,4
qwen2.5-1.5b,questao_73,2022,CH,0.9047,E,B,False,0.23995,letra,0.645885,4
qwen2.5-1.5b,questao_76,2022,CH,0.865012,A,A,True,0.478706,letra,0.790099,4
qwen2.5-1.5b,questao_77,2022,CH,0.616711,E,E,True,0.567561,letra,0.312198,4
qwen2.5-1.5b,questao_78,2022,CH,0.666087,B,C,False,0.685968,letra,0.815939,4
qwen2.5-1.5b,questao_79,2022,CH,0.679551,B,B,True,0.722427,letra,0.775276,4
qwen2.5-1.5b,questao_80,2022,CH,0.889448,D,E,False,0.42884,letra,0.740811,4
qwen2.5-1.5b,questao_81,2022,CH,0.912115,B,B,True,0.282134,letra,0.246217,4
qwen2.5-1.5b,questao_83,2022,CH,0.831073,C,E,False,0.330068,letra,0.667581,4
qwen2.5-1.5b,questao_84,2022,CH,0.767853,E,E,True,0.475063,letra,0.777261,4
qwen2.5-1.5b,questao_85,2022,CH,0.626315,D,D,True,0.445185,letra,0.724363,4
qwen2.5-1.5b,questao_86,2022,CH,0.705689,B,A,False,0.385497,letra,0.767485,4
qwen2.5-1.5b,questao_87,2022,CH,0.793961,E,D,False,0.316842,letra,0.695246,4
